Conecuh,AL,01035,31.43401703,-86.99320044,12067,,0.02,0.5,0.49,0.18,0.12,0.39,0.15,0.03,0.06,0.06,0.33,0.11,0.11,0.09,0.17,0.14,0.09,0.13,0.29,0.09,0.66,0.11,0.7,0.06,0.18,0.05,0.26,0.45,0.32,0.31,0.26,0.88,0.19,0.13,0.28,0.31,0.12,0.34,0.41,0.25,0.08,9.9,37352
Coosa,AL,01037,32.93690146,-86.24847739,10663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6639
Covington,AL,01039,31.2477854,-86.45050893,37049,,0.17,0.62,0.91,0.48,0.31,0.28,0.54,0.21,0.22,0.37,2.45,0.38,0.3,0.46,0.89,0.44,0.24,1.07,1.06,0.83,3.39,1.42,2,0.81,0.62,0.91,1.35,2.58,0.99,1.66,2.09,3.55,1.12,1.67,2.7,2.54,1.67,1.64,1.49,3.04,0.45,49.92,95195
Crenshaw,AL,01041,31.72941803,-86.31593104,13772,,0.02,0.08,0.08,0.14,0.02,0,0.01,0.02,0.14,0.35,0.58,0.19,0.18,0.09,0.36,0.1,0.06,0.24,0.5,0.35,0.79,0.2,0.49,0.19,0.07,0.2,0.29,0.31,0.33,0.31,0.44,0.49,0.04,0.16,0.33,0.24,0.53,0.16,0.28,1.11,0.64,11.11,36596
Cullman,AL,01043,34.13020303,-86.86888037,83768,,,0.06,0.15,0.07,0.04,0.02,0.03,0,0,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0,0.15,0.03,0.03,0.02,,0,0,0,,0.08,0.16,0.08,0.03,0.03,0.02,0.08,0.01,0,0.01,0.14,0.05,0.08,0.06,0.02,1.54,61546
Dale,AL,01045,31.43037123,-85.61095742,49172,0,0.4,0.25,0.19,0.39,0.43,0.16,0.76,1.2,0.74,0.45,6.31,0.46,0.17,1.5,0.9,0.49,1.21,2.17,1.77,0.89,5.15,1.14,1.46,0.74,0.99,0.42,2.08,2.44,0.88,1.26,1.81,2.61,0.42,1.1,1.55,1.65,0.82,0.73,0.43,2.41,0.41,51.34,63296
Dallas,AL,01047,32.32688101,-87.1086671,37196,0.04,1.65,1.65,2.14,0.91,0.6,0.69,0.45,0.43,0.47,0.58,0.58,0.2,0.19,0.23,0.33,0.78,0.1,0.08,0.43,0.15,0.58,0.28,0.35,0.21,0.15,0.19,0.7,1.56,0.07,0.6,1.19,0.97,0.54,0.45,0.68,0.65,0.28,0.66,0.32,1.26,3.22,27.59,135968
DeKalb,AL,01049,34.45946862,-85.80782906,71513,0,0.14,0.52,1.53,0.94,0.38,0.26,0.48,0.21,0.19,0.05,0.18,0.07,0.01,0.08,,0.04,0,0.03,0.2,0.37,0.31,0.13,0.43,0.58,0.41,0.22,0.79,0.58,0.88,0.29,0.47,0.23,0.34,0.08,0.21,0.35,1.7,0.55,0.51,0.78,0.35,15.87,111444
Elmore,AL,01051,32.59785413,-86.14415284,81209,,,,,,,,,,,,,,,,,,,,,,,0.07,0.25,0.21,0.01,0.01,0.21,0.57,0.1,0.18,0.06,0.02,0.02,0.07,0.01,0.05,0.08,0.3,0.07,0.7,0.14,3.13,35544
Escambia,AL,01053,31.1256789,-87.15918694,36633,0,0.02,0.04,0.12,0.07,0.04,0.07,0.17,0.14,0.21,0.25,0.61,0.6,0.36,0.28,0.15,0.41,0.12,0.46,0.62,0.57,1.94,0.26,4.71,0.43,0.58,0.63,0.42,0.91,0.08,1.19,0.47,1.58,0.12,0.06,0.57,0.88,0.35,1.37,1.68,0.98,2.58,27.1,68127
Etowah,AL,01055,34.04567266,-86.04051873,102268,,,0.08,0.09,0.07,0.03,0.01,0.02,0.02,,,,,,,,0,,0,0.01,0,0,,0.05,0.1,,0,0.07,0.23,0.01,0.06,0.23,0.01,0.07,0.06,0.01,0.06,0.1,0.09,0.15,0.45,0.1,2.18,35737
Fayette,AL,01057,33.72076938,-87.73886638,16302,,,,,,,,,,,,,,,,,,,,,,,0.02,0.16,0,0,0,0.19,0.13,0.13,0.05,0.03,0.02,0,0.03,,0.01,0.02,0.01,0.1,0.14,0.03,1.07,27644
Franklin,AL,01059,34.44235334,-87.84289505,31362,,,0.08,0.01,0.02,0.02,0,0,0.03,0.01,0.02,0.02,0.03,0.01,0.02,0.01,0.2,0,0.11,0.03,0.17,0.12,0.02,0.07,0.03,0.03,0.01,0.1,0.05,0.14,0.11,0.09,0.15,0.18,0.08,0.07,0.15,0.27,0.22,0.18,0.16,0.13,3.15,44681
Geneva,AL,01061,31.09389027,-85.83572839,26271,0.01,0.4,0.7,1.06,1.17,0.92,0.82,1.17,1.29,0.99,1.29,6.05,1.77,0.97,1.44,3.28,2.79,1.99,2.96,5.96,6.7,10.2,3.84,3.39,2.25,1.29,1.43,3.14,3.09,2.18,3.57,6.15,4.61,2.12,5.38,5.84,6.17,2.8,3.37,1.67,5.65,1.01,122.88,115640
Greene,AL,01063,32.85504247,-87.95684022,8111,,,0.66,0.62,0.38,0.2,0.14,0.2,0.05,0.01,0.04,0.08,0.07,0.04,0,0,0,0.03,0.01,0.03,0.04,0.03,0,0.01,0.01,0,,0.01,0.04,0.05,0.26,0.2,0.31,0.35,0.3,0.29,0.32,0.42,0.24,0.17,0.34,0.12,6.07,24389
Hale,AL,01065,32.76039258,-87.63284988,14651,0,0.44,0.93,1.3,0.77,0.43,0.3,0.24,0.13,0.1,0.07,0.11,0.11,0.03,0.09,0.03,0.13,0.02,0.03,0.04,0.09,0.07,0.05,0.06,0.05,0.02,0.05,0.34,0.14,0.04,0.06,0.14,0.49,0.03,0.06,0.23,0.14,0.12,0.04,0.06,0.28,0.34,8.2,52192
Henry,AL,01067,31.51148016,-85.24267944,17205,0.03,1.46,0.36,0.44,0.69,0.43,0.39,3.15,2.65,1.67,1.38,13.94,1.1,0.51,9.01,1.41,2.16,2.68,3.06,2.56,2.58,10.59,1.81,3.37,0.8,1.57,0.98,4.43,3.91,2.24,1.64,6.17,8.1,1.19,1.86,4.85,3.21,2.76,2.13,0.8,3.75,1.07,118.89,96268
Houston,AL,01069,31.15197924,-85.29939599,105882,0.01,0.58,0.79,1.26,1.17,0.93,0.9,4.7,2.76,1.29,1.86,9.23,2.38,1.35,3.7,3.5,1.94,4.42,5.06,4.66,4.39,11.61,3.54,4.19,1.55,2.06,2.11,5.33,4.83,2.36,3.94,7.04,8.91,3.71,5.46,6.95,7.48,3.26,2.53,0.86,6.52,2.01,153.13,140629
Jackson,AL,01071,34.78144169,-85.99750489,51626,,0.01,0.17,0.51,0.17,0.05,0.01,0.04,0.05,0.02,0.01,0.02,0.01,0.01,0.01,,0,0.01,0.04,0.11,0.54,0.19,0.13,0.44,0.43,0.28,0.08,0.6,1.65,0.97,0.43,0.3,0.57,0.32,0.78,0.12,0.42,2.88,0.52,0.42,1.66,1.14,16.12,118621
Jefferson,AL,01073,33.55554728,-86.895063,658573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1716
Lamar,AL,01075,33.77995024,-88.09668032,13805,,,0.01,0.03,0.01,0.04,0.01,,,0.01,0.01,0.01,0.02,0.01,0.01,0,0.01,0.01,0.01,0.01,0.02,0.12,0.04,0.04,0.03,0.03,0.02,0.12,0.12,0.05,0.16,0.13,0.09,0.04,0.03,0.02,0.03,0.06,0.03,0.07,0.01,0.07,1.54,16346
Lauderdale,AL,01077,34.90171875,-87.65624729,92729,0,0,0.2,0.47,0.41,0.36,0.09,0.11,0.17,0.59,0.38,0.72,0.53,0.3,0.5,0.05,2.68,0.36,0.53,0.12,1.05,0.45,0.17,0.5,0.24,0.18,0.13,0.92,2.03,0.62,0.32,0.42,0.29,2.7,0.21,0.14,0.08,1.4,0.59,1.2,1,0.44,23.65,128978
Lawrence,AL,01079,34.52041498,-87.31069453,32924,0.02,0.08,0.29,0.29,0.44,0.33,0.06,0.18,0.03,0.37,0.18,0.47,0.12,0.03,0.21,0.02,2.1,0,4,0.12,1.55,0.56,0.56,0.28,0.07,0.22,0.06,4.66,11.9,6.37,7.82,0.23,0.12,2.44,0.17,0.04,0.37,2.09,1.48,0.52,2.06,1.05,53.96,145765
Lee,AL,01081,32.60154883,-85.35132246,164542,,,,,,,,,,,,,,,,,0,,,,,,0,0.04,0.02,0,0.01,0.05,0.15,0.03,0.1,0.35,0.07,0.09,0.15,0.04,0.07,0.24,0.13,0.22,0.25,0.03,2.04,21441
Limestone,AL,01083,34.81185586,-86.98310072,98915,0.02,0.13,0.23,0.4,1.9,0.4,0.08,0.28,0.24,1.74,0.35,1.22,0.16,0.06,0.45,0.01,3.72,0.04,12.65,0.05,1.52,0.69,0.13,0.88,0.37,0.1,0.03,4.09,4.69,0.7,1.03,0.97,0.34,3.03,0.15,0.12,0.15,3.11,0.96,1.12,4.47,0.6,53.38,147835
Lowndes,AL,01085,32.1597283,-86.65158371,9726,,,,0.12,0.01,0,0.02,,,0.01,0.01,,,,,,,,,,0,,0.1,0.02,0.05,0,0.01,0.02,0.19,0.08,0.01,0.16,0.34,0.19,0.27,0.21,0.17,0.25,0.16,0.36,0.2,0.35,3.31,96750
Macon,AL,01087,32.38759944,-85.69267724,18068,,,0.34,0.52,0.22,0.12,0.12,0.2,0.09,0.05,0.07,0.07,0.01,0.05,0.01,0.06,0.23,0.04,0.05,0.07,0.04,0.32,0.03,0.14,0.06,0,0.01,0.28,0.29,0.08,0.19,0.38,0.13,0.06,0.29,0.12,0.06,0.08,0.1,0.04,0.3,0.09,5.41,14437
Madison,AL,01089,34.76327133,-86.55069633,372909,0.03,0.6,0.54,0.29,1.06,0.22,0.05,0.21,0.17,0.54,0.18,0.35,0.11,0.07,0.22,0.01,2.05,0.13,11.01,0.68,1.1,0.88,0.39,1.38,0.34,0.12,0.05,2.4,3.6,0.41,1.06,2.77,0.3,2.32,0.61,0.09,0.17,2.1,0.89,0.51,2.15,0.67,42.83,139245
Marengo,AL,01091,32.24767634,-87.78796182,18863,,0.53,1.02,1.02,0.42,0.33,0.39,0.16,0.1,0.04,0.07,0.06,0.07,0.08,0.02,0,0.02,,0.04,0,0.02,0.16,0.01,0.17,0.11,0.03,0.05,0.15,0.18,0.03,0.34,0.2,0.32,0.32,0.21,0.27,0.15,0.4,0.48,0.09,1.24,0.47,9.77,100486
Marion,AL,01093,34.13697363,-87.88704173,29709,,,0.01,0,,0,,,0.07,0.03,0.01,0.01,0,,,0.01,,,0,,0.03,0.05,0.01,0.02,0.16,0.01,0,0.1,0.06,0.06,0.02,0.02,0.01,0.03,0,0,0,0.07,0.03,0.01,0.02,0,0.85,38506
Marshall,AL,01095,34.36975964,-86.30486727,96774,0,0.16,0.99,2.02,1.76,1.1,0.87,0.88,0.73,0.51,0.41,0.45,0.12,0.03,0.22,0.01,0.05,0.02,0.02,0.09,0.05,0.09,,0.01,0.07,0.01,0,0.21,0.17,0.41,0.19,0.09,0.02,0.07,0.06,0.01,0.03,0.29,0.22,0.12,0.37,0.07,13,65322
Mobile,AL,01097,30.78472347,-88.20842409,413210,,0.02,0.06,0.07,0.01,,0.04,0.01,,0.26,0.12,0.34,0.35,0.07,0.11,0.06,0.24,0.03,0.63,1.48,0.07,0.46,0.02,1.22,0.33,0.92,0.28,0.32,0.07,0.18,0.47,0.14,0.32,0.5,0.87,0.33,0.51,0.36,1.18,1.32,1.02,3.04,17.83,40210
Monroe,AL,01099,31.56729412,-87.36995001,20733,,0.09,0.19,0.14,0.05,0,0,0.01,0.01,0.03,0.07,0.27,0.06,0.06,0.09,0.02,0.22,0.01,0.05,0.48,0.5,2.39,0.3,4.59,0.33,0.15,0.57,0.72,0.95,0.19,0.77,1.28,1.49,0.06,0.17,0.54,0.83,0.03,0.61,0.38,0.36,1.64,20.7,63181
Montgomery,AL,01101,32.2206831,-86.20969272,226486,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,0.07,0,0.01,0.06,0.18,0.02,0.1,0.01,0.11,0.04,0.22,0.07,0.05,0.15,0.26,0.04,0.18,0.28,1.9,81974
Morgan,AL,01103,34.45500589,-86.85475946,119679,,,,0.03,0.01,0.01,0.01,0,,,,,,,,,,,,,,0.01,0.02,0.05,0.09,0.02,0,0.16,0.42,0.06,0.07,0.23,0.07,0.76,0.04,0.08,0.02,0.26,0.36,0.14,0.47,0.09,3.48,53842
Perry,AL,01105,32.64048341,-87.29770589,8923,,0.27,1.93,2.31,1.24,0.89,1.18,1.11,0.54,0.24,0.47,0.42,0.22,0.06,0.06,0.07,0.09,0.03,0.05,0.09,0.19,0.32,0.42,0.29,0.27,0.08,0.4,0.65,0.63,0.25,0.45,0.62,1.3,0.58,0.58,0.39,0.69,0.26,0.41,0.47,0.68,0.77,21.97,82440
Pickens,AL,01107,33.28094866,-88.08818103,19930,,0.18,0.66,0.69,0.7,0.09,0.38,0.5,0.21,0.1,0.09,0.18,0.07,0.01,0.03,0.01,0.22,0.01,0.01,0.05,0.06,0.11,0.04,0.03,0.04,,0.02,0.17,0.35,0.14,0.43,0.17,0.49,0.07,0.22,0.15,0.07,0.06,0.01,0.02,0.1,0.43,7.37,22757
Pike,AL,01109,31.80396383,-85.9408295,33114,0.01,0.18,0.1,0.26,0.08,0.11,0.16,0.24,1.83,0.81,1.54,5.58,1.21,0.87,2.08,1.21,0.46,0.41,1.65,1.67,0.99,3.08,0.54,0.9,0.22,0.34,0.42,1.35,1.61,0.98,0.98,1,1.75,0.28,0.68,0.49,1.08,0.45,0.36,0.15,1.12,0.29,39.52,62665
Randolph,AL,01111,33.29526734,-85.45708831,22722,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0.01,0.01,0.01,0,0.03,0.03,0.01,0.01,0.02,0.06,0.02,0.03,0.07,0.08,0.39,39707
Russell,AL,01113,32.28725256,-85.18415324,57961,,,0.24,0.33,0.21,0.11,0.08,0.1,0.26,0.15,0.21,0.75,0.17,0.06,0.64,0.08,0.33,0.02,0.09,0.09,0.05,0.6,0.04,0.2,0.07,0.05,0.03,0.14,0.23,0.39,0.24,0.63,0.65,0.07,0.12,0.16,0.34,0.44,0.15,0.22,0.53,0.08,9.35,21749
St. Clair,AL,01115,33.71902176,-86.31029372,89512,,,,,,,,,,,,,,,,,,,,,,,,0.01,0,0,,0,0,0.01,,0.02,0.01,0.03,0.01,0.01,0.01,0.02,0.16,0.01,0.08,0.02,0.4,20975
Shelby,AL,01117,33.26879845,-86.66232561,217702,,,,,,,,,,,,,,,,,,,,0,0,0.01,0.02,0.16,0.02,0.02,,0.21,0.24,0.02,0.18,0.43,0.07,0.01,0.03,0.13,0.04,0.04,0.07,0.01,0.22,0.03,1.96,21592
Sumter,AL,01119,32.59117397,-88.19916205,12427,,,1.1,1.03,0.86,0.4,0.24,0.27,0.07,0.05,0.05,0.05,0.02,0.01,0,0,0.01,0,0.01,0.02,0,0.01,0,0.04,0.02,0.01,0.01,0.01,0,0,0.01,0.01,0.05,0.25,0.12,0.14,0.06,0.1,0.11,0.05,0.06,0.06,5.31,25787
Talladega,AL,01121,33.37823223,-86.16886178,79978,,,0.05,0.09,0.1,0.13,0.13,0.08,0.03,0.01,0.02,0.08,0.02,0.04,0.05,0.01,0.16,0.04,0.03,0.22,0.17,0.77,0.07,0.4,0.48,0.06,0.14,0.7,1.31,0.21,0.23,0.64,0.42,0.34,0.29,0.21,0.15,0.83,0.56,0.13,0.62,0.29,10.31,54930
Tallapoosa,AL,01123,32.86698258,-85.79833053,40367,,,,,,0,,,,,,,,,,,,,,,,,,0,0.01,0,0,0.01,0.03,0,0.01,,0,,0.01,,0,0.02,,0.01,0.03,0.02,0.15,10891
Tuscaloosa,AL,01125,33.28726072,-87.52556818,209355,,,,0.01,0.01,0,0,0.01,0,,0.02,,,,,,0,0,0,0.03,0,0.05,,0.07,0.02,0.02,0,0.11,0.15,0.07,0.07,0.03,0.18,0.07,0.01,0.04,0.07,0.02,0.02,0.08,0.13,0.03,1.32,20070
Walker,AL,01127,33.80270512,-87.30027177,63521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02,0.07,0.08,0.03,0.08,,0.28,4099
Washington,AL,01129,31.4092794,-88.20689944,16326,,,,0.08,0.05,0.01,0.01,0.02,0.01,0.02,0.03,0.05,0.02,0,0.03,0.02,0.02,0.01,0,0.12,,0.23,0.02,0.21,0,0.01,0.01,0.03,0.06,0.12,0.18,0.41,0.16,0.02,0.02,0.07,0.15,0.01,0.14,0,0.02,0.23,2.6,7566
Wilcox,AL,01131,31.98773215,-87.30891118,10373,,,0.21,0.44,0.26,0.04,0.08,0.13,0.05,0.09,0.08,0.08,0.06,0.01,0.03,0.03,0,0,0.04,0,0.14,0.17,0.04,0.18,0.02,,0.07,0.13,0.23,0.01,0.05,0.17,0.27,0.07,0.06,0.1,0.08,0.17,0.13,0.14,0.14,0.21,4.21,50169
Winston,AL,01133,34.15030532,-87.37325922,23629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0.04,16642
Aleutians East,AK,02013,55.32222414,-161.9722021,3337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Aleutians West,AK,02016,52.3233,-174.1596,5634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Anchorage,AK,02020,61.14998174,-149.1426986,288000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Bethel,AK,02050,60.90980451,-159.8561831,18386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Bristol Bay,AK,02060,58.74513976,-156.701064,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Denali,AK,02068,63.67264044,-150.0076108,2097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Dillingham,AK,02070,59.79603738,-158.2381942,4916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Fairbanks North Star,AK,02090,64.80726247,-146.5692662,96849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Haines,AK,02100,59.09893571,-135.4679843,2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Hoonah-Angoon,AK,02105,58.29307365,-135.6424424,2148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Juneau,AK,02110,58.45031811,-134.200436,31974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Kenai Peninsula,AK,02122,60.24429722,-151.5388884,58708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Ketchikan Gateway,AK,02130,55.57445008,-130.975561,13901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Kodiak Island,AK,02150,57.65529415,-153.7493579,12998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Lake and Peninsula,AK,02164,58.62403337,-156.2140589,2428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Matanuska-Susitna,AK,02170,62.31305045,-149.5741743,108317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01
Nome,AK,02180,64.90320724,-164.0353804,10004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
North Slope,AK,02185,69.31479216,-153.4836093,9832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Northwest Arctic,AK,02188,67.04919196,-159.7503946,7621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Petersburg,AK,02195,57.13978948,-132.9540995,3266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Prince of Wales-Hyder,AK,02198,55.76261984,-133.0511621,6203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Sitka,AK,02220,57.24124555,-135.3206587,8493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Skagway,AK,02230,59.56149996,-135.3337748,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southeast Fairbanks,AK,02240,63.87692095,-143.2127643,6893,,,,,,0.03,,,,,,,,,,,,,,0,0,0.03,,0.05,0.29,0.01,,0,,0.02,0,,0.03,0.01,0.25,0.02,0.06,0.01,0.01,0.09,0.01,0.02,0.94
Valdez-Cordova,AK,02261,61.47502768,-144.7126799,9202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Wade Hampton,AK,02270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Wrangell,AK,02275,56.3202004,-132.0583731,2502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Yakutat,AK,02282,59.8909808,-140.3601451,2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Yukon-Koyukuk,AK,02290,65.50815459,-151.3907387,5230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Apache,AZ,04001,35.39465006,-109.4892383,71887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.05,29.55,2.28,19.18,71.06,1565257
Cochise,AZ,04003,31.87934684,-109.7516088,125922,,0.16,0.11,0.72,0.22,0.01,0.02,,0.02,0.12,0.64,0.31,1.22,0.38,0.44,0.11,0.13,0.01,0.13,0.02,0.11,0.28,0.53,0.08,0.06,0.17,0.2,0.51,0.21,0.49,0.29,0.89,1,0.36,0.59,0.59,0.27,0.77,2.51,2.67,2.93,6.19,26.47,836885
Coconino,AZ,04005,35.83883429,-111.7707178,143476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,18.87,18.08,4.46,25.2,66.82,3732735
Gila,AZ,04007,33.80190085,-110.8132779,54018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,7.31,4.91,1.41,6.77,20.66,3088737
